codigo_escola;codigo_escola_mec;nome_escola;distrito;bairro;municipio;diretoria;localizacao;cep;latitude;longitude;nivel_socioeconomico;tratamento_cmsp;tratamento_cmsp_periodo;tratamento_cmsp_intensidade;ano_primeiro_cmsp_real;g_cmsp;grupo_cmsp
914997;35914997;ATTILIA PRADO MARGARIDO;SAO CARLOS;PLANALTO PARAISO;SAO CARLOS;SAO CARLOS;Urbana;13562100;-22.00045013;-47.91734314;5,45;1;2020-05-27;185958988;2020;2021;tratada_cmsp
915002;35915002;LUIZ MARCARI;BARRINHA;JARDIM PAULISTA;BARRINHA;SERTAOZINHO;Urbana;14860000;-21.19322968;-48.15007019;5,21;1;2020-05-27;5392862;2020;2021;tratada_cmsp
915026;35915026;JOAO MOROTTI FILHO;SAO JOSE DOS CAMPOS;BOM RETIRO;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;Urbana;12226280;-23.20906067;-45.75362015;5,07;1;2020-05-27;25290621;2020;2021;tratada_cmsp
915075;35915075;BAIRRO BOA VISTA INTERVALES;RIBEIRAO GRANDE;BOA VISTA INTERVALES;RIBEIRAO GRANDE;ITAPEVA;Rural;18315000;-24.22649956;-48.42282104;;1;2020-05-28;5265122;2020;2021;tratada_cmsp
915087;35915087;BAIRRO FERREIRA DOS MATOS;RIBEIRAO GRANDE;FERREIRA DOS MATOS;RIBEIRAO GRANDE;ITAPEVA;Rural;18319899;-24.07016945;-48.39622498;4,71;1;2020-05-27;19438799;2020;2021;tratada_cmsp
915105;35915105;BAIRRO DO TOME;TURIBA DO SUL;AREA RURAL DE ITABERA;ITABERA;ITARARE;Rural;18449899;-23.8162899;-49.27262878;5,01;1;2020-05-28;7478879;2020;2021;tratada_cmsp
915117;35915117;RICARDO CAMPOLIM DE ALMEIDA NETO;NOVA CAMPINA;ITAOCA;NOVA CAMPINA;ITAPEVA;Rural;18435000;-24.26014328;-49.00194931;4,28;1;2020-05-28;5482402;2020;2021;tratada_cmsp
915233;35915233;BUENO DE AZEVEDO FILHO PROF;FRANCISCO MORATO;JD S JOSE;FRANCISCO MORATO;CAIEIRAS;Urbana;7911020;-23.28339958;-46.75289917;5,12;1;2020-05-27;902480371;2020;2021;tratada_cmsp
915269;35915269;CONDOMINIO RESIDENCIAL VILLAGE;ITAQUAQUECETUBA;PARQUE RESIDENCIAL SCAFFID II;ITAQUAQUECETUBA;ITAQUAQUECETUBA;Urbana;8587770;-23.43024063;-46.31200027;5,32;1;2020-05-27;707187531;2020;2021;tratada_cmsp
915282;35915282;BAIRRO VITALINO;JUQUITIBA;VITALINO;JUQUITIBA;ITAPECERICA DA SERRA;Rural;6950000;-23.94997215;-47.15624619;5,45;1;2020-05-28;6757031;2020;2021;tratada_cmsp
915497;35915497;RICARDO SAMPAIO CARDOSO JUDOCA;SANTOS;CAROARA;SANTOS;SANTOS;Urbana;11200000;-23.88328743;-46.18525696;4,58;1;2020-05-27;67211356;2020;2021;tratada_cmsp
